Log		avg_mem	avg_stacksize	avg_totalsize	cmd	context_swaps	exitcode	forced_context_switches	fs_input	fs_output	max_mem	page_faults_majors	page_faults_minor	pagesize	rcpu	shmem	signals_rx	socket_messages_rx	socket_messages_tx	stime	unsharedmem	utime	vol_context_switches	wall
Makefile.1379012084.5674		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr15 -d 120916 -c 15 -s 120916 -l 120916.inr.bed"	0	0	50	0	38328	29488	0	14211	4096	35%	0	0	0	0	0.08	0	0.73	187	0:02.29
Makefile.1379012086.12241		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr16 -d 120916 -c 16 -s 120916 -l 120916.inr.bed"	0	0	51	0	38328	29488	0	14204	4096	33%	0	0	0	0	0.06	0	0.76	175	0:02.44
Makefile.1379012088.15455		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr17 -d 120916 -c 17 -s 120916 -l 120916.inr.bed"	0	0	58	0	38328	29472	0	14202	4096	41%	0	0	0	0	0.05	0	0.77	225	0:01.97
Makefile.1379012090.14952		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr18 -d 120916 -c 18 -s 120916 -l 120916.inr.bed"	0	0	37	0	38328	29488	0	14198	4096	43%	0	0	0	0	0.10	0	0.71	213	0:01.85
Makefile.1379012092.25392		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr19 -d 120916 -c 19 -s 120916 -l 120916.inr.bed"	0	0	56	0	38328	29488	0	14208	4096	36%	0	0	0	0	0.07	0	0.74	188	0:02.25
Makefile.1379012095.23227		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr20 -d 120916 -c 20 -s 120916 -l 120916.inr.bed"	0	0	48	0	38328	29488	0	14206	4096	29%	0	0	0	0	0.08	0	0.76	211	0:02.82
Makefile.1379012098.11035		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr21 -d 120916 -c 21 -s 120916 -l 120916.inr.bed"	0	0	35	0	38328	29488	0	14209	4096	37%	0	0	0	0	0.07	0	0.71	208	0:02.11
Makefile.1379012100.19729		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr22 -d 120916 -c 22 -s 120916 -l 120916.inr.bed"	0	0	53	0	38328	29472	0	14208	4096	33%	0	0	0	0	0.06	0	0.76	225	0:02.47
Makefile.1379012102.19250		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chrX -d 120916 -c X -s 120916 -l 120916.inr.bed"	0	0	32	0	38328	29488	0	14212	4096	32%	0	0	0	0	0.06	0	0.33	192	0:01.19
Makefile.1379012103.17568		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chrY -d 120916 -c Y -s 120916 -l 120916.inr.bed"	0	0	35	0	38328	29488	0	14186	4096	31%	0	0	0	0	0.06	0	0.54	194	0:01.96
Makefile.1379012105.6144		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.all -d 120916 -c all -s 120916 -l 120916.int.bed"	0	0	43	0	38328	29488	0	14212	4096	29%	0	0	0	0	0.06	0	0.70	200	0:02.60
Makefile.1379012108.23437		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr1-1.pairwise -d 120916 -c 1 -x 1 -s 120916 -l 120916.int.bed"	0	0	37	0	38328	29488	0	14206	4096	27%	0	0	0	0	0.06	0	0.59	223	0:02.42
Makefile.1379012111.875		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr1-2.pairwise -d 120916 -c 1 -x 2 -s 120916 -l 120916.int.bed"	0	0	53	0	38328	29488	0	14200	4096	45%	0	0	0	0	0.05	0	0.65	182	0:01.54
Makefile.1379012112.3482		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr1-3.pairwise -d 120916 -c 1 -x 3 -s 120916 -l 120916.int.bed"	0	0	37	0	38328	29488	0	14195	4096	24%	0	0	0	0	0.04	0	0.42	196	0:01.93
Makefile.1379012114.21653		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr1-4.pairwise -d 120916 -c 1 -x 4 -s 120916 -l 120916.int.bed"	0	0	39	0	38328	29488	0	14204	4096	30%	0	0	0	0	0.06	0	0.76	184	0:02.74
Makefile.1379012117.19972		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr1-5.pairwise -d 120916 -c 1 -x 5 -s 120916 -l 120916.int.bed"	0	0	57	0	38328	29488	0	14184	4096	33%	0	0	0	0	0.06	0	0.77	179	0:02.50
Makefile.1379012119.14451		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr1-6.pairwise -d 120916 -c 1 -x 6 -s 120916 -l 120916.int.bed"	0	0	51	0	38328	29488	0	14197	4096	36%	0	0	0	0	0.07	0	0.76	179	0:02.28
Makefile.1379012122.17397		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr1-7.pairwise -d 120916 -c 1 -x 7 -s 120916 -l 120916.int.bed"	0	0	38	0	38328	29488	0	14185	4096	38%	0	0	0	0	0.11	0	0.73	172	0:02.20
Makefile.1379012124.25053		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr1-8.pairwise -d 120916 -c 1 -x 8 -s 120916 -l 120916.int.bed"	0	0	49	0	38328	29488	0	14181	4096	34%	0	0	0	0	0.05	0	0.70	179	0:02.23
Makefile.1379012126.30703		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr1-9.pairwise -d 120916 -c 1 -x 9 -s 120916 -l 120916.int.bed"	0	0	50	0	38328	29472	0	14195	4096	36%	0	0	0	0	0.06	0	0.80	189	0:02.39
Makefile.1379012129.20701		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr1-10.pairwise -d 120916 -c 1 -x 10 -s 120916 -l 120916.int.bed"	0	0	42	0	38328	29488	0	14200	4096	29%	0	0	0	0	0.09	0	0.75	228	0:02.87
Makefile.1379012132.599		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr1-11.pairwise -d 120916 -c 1 -x 11 -s 120916 -l 120916.int.bed"	0	0	57	0	38328	29488	0	14188	4096	31%	0	0	0	0	0.07	0	0.68	187	0:02.43
Makefile.1379012134.10775		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr1-12.pairwise -d 120916 -c 1 -x 12 -s 120916 -l 120916.int.bed"	0	0	52	0	38328	29488	0	14191	4096	34%	0	0	0	0	0.04	0	0.78	197	0:02.39
Makefile.1379012137.20986		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr1-13.pairwise -d 120916 -c 1 -x 13 -s 120916 -l 120916.int.bed"	0	0	51	0	38328	29504	0	14190	4096	28%	0	0	0	0	0.09	0	0.72	217	0:02.91
Makefile.1379012140.18660		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr1-14.pairwise -d 120916 -c 1 -x 14 -s 120916 -l 120916.int.bed"	0	0	51	0	38328	29472	0	14200	4096	27%	0	0	0	0	0.06	0	0.68	184	0:02.71
Makefile.1379012142.14672		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr1-15.pairwise -d 120916 -c 1 -x 15 -s 120916 -l 120916.int.bed"	0	0	52	0	38328	29488	0	14197	4096	34%	0	0	0	0	0.08	0	0.74	183	0:02.40
Makefile.1379012145.16597		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr1-16.pairwise -d 120916 -c 1 -x 16 -s 120916 -l 120916.int.bed"	0	0	42	0	38328	29488	0	14186	4096	31%	0	0	0	0	0.08	0	0.75	185	0:02.67
Makefile.1379012148.22419		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr1-17.pairwise -d 120916 -c 1 -x 17 -s 120916 -l 120916.int.bed"	0	0	60	0	38328	29488	0	14178	4096	33%	0	0	0	0	0.06	0	0.72	191	0:02.36
Makefile.1379012150.19515		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr1-18.pairwise -d 120916 -c 1 -x 18 -s 120916 -l 120916.int.bed"	0	0	40	0	38328	29488	0	14194	4096	31%	0	0	0	0	0.07	0	0.74	193	0:02.60
Makefile.1379012153.19768		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr1-19.pairwise -d 120916 -c 1 -x 19 -s 120916 -l 120916.int.bed"	0	0	36	0	38328	29472	0	14199	4096	33%	0	0	0	0	0.08	0	0.66	178	0:02.24
Makefile.1379012155.32343		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr1-20.pairwise -d 120916 -c 1 -x 20 -s 120916 -l 120916.int.bed"	0	0	36	0	38328	29488	0	14190	4096	35%	0	0	0	0	0.05	0	0.78	185	0:02.38
Makefile.1379012157.24024		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr1-21.pairwise -d 120916 -c 1 -x 21 -s 120916 -l 120916.int.bed"	0	0	49	0	38328	29488	0	14198	4096	40%	0	0	0	0	0.08	0	0.94	170	0:02.52
Makefile.1379012160.2602		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr1-22.pairwise -d 120916 -c 1 -x 22 -s 120916 -l 120916.int.bed"	0	0	52	0	38328	29504	0	14266	4096	39%	0	0	0	0	0.08	0	0.75	175	0:02.09
Makefile.1379012162.19579		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr2-1.pairwise -d 120916 -c 2 -x 1 -s 120916 -l 120916.int.bed"	0	0	53	0	38328	29488	0	14264	4096	38%	0	0	0	0	0.06	0	0.73	186	0:02.07
Makefile.1379012164.19779		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr2-2.pairwise -d 120916 -c 2 -x 2 -s 120916 -l 120916.int.bed"	0	0	33	0	38328	29488	0	14260	4096	32%	0	0	0	0	0.05	0	0.60	191	0:02.02
Makefile.1379012166.6180		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr2-3.pairwise -d 120916 -c 2 -x 3 -s 120916 -l 120916.int.bed"	0	0	42	0	38328	29488	0	14259	4096	36%	0	0	0	0	0.06	0	0.78	182	0:02.30
Makefile.1379012169.11634		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr2-4.pairwise -d 120916 -c 2 -x 4 -s 120916 -l 120916.int.bed"	0	0	34	0	38328	29488	0	14252	4096	35%	0	0	0	0	0.05	0	0.65	197	0:01.99
Makefile.1379012171.17835		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr2-5.pairwise -d 120916 -c 2 -x 5 -s 120916 -l 120916.int.bed"	0	0	36	0	38328	29472	0	14256	4096	21%	0	0	0	0	0.06	0	0.62	186	0:03.13
Makefile.1379012174.31369		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr2-6.pairwise -d 120916 -c 2 -x 6 -s 120916 -l 120916.int.bed"	0	0	61	0	38328	29504	0	14197	4096	42%	0	0	0	0	0.08	0	0.76	179	0:01.97
Makefile.1379012176.635		0	0	0	"sh -c bash /data/DIV5/SASC/003_scr/scripts/circos/createcircos.sh -b 120916.cov.bed -o 120916.chr2-7.pairwise -d 120916 -c 2 -x 7 -s 120916 -l 120916.int.bed"	0	0	51	0	38328	29488	0	14194	4096	40%	0	0	0	0	0.06	0	0.79	174	0:02.13
